"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","39920","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","10:45 AM - 12:00 PM","Milo, Michael","KY 419","27","25","In-Person",
"03","39922","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","3:10 PM - 6:00 PM","Ho, Vivian","HH 17","25","25","In-Person",
"02","39921","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","3:10 PM - 4:25 PM","Milo, Michael","KY 419","25","25","In-Person",
"07","47367","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","6:55 PM - 8:35 PM","Ruthizer, Scott","PH 116","46","46","In-Person",
"05","47256","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","RA 201","48","48","In-Person",
"06","47278","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","10:05 AM - 11:55 AM","Solarsh, Eva","KY 220","31","30","In-Person",
"02","47188","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","8:00 AM - 9:50 AM","Gruza, Marvin","RA 201","30","45","In-Person",
"11","51316","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","SU","8:00 AM - 12:00 PM","Mintz, Chana","PH 115","17","45","In-Person",
"10","51312","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","S","8:00 AM - 12:00 PM","Williams, Satina","PH 116","23","45","In-Person",
"09","51299","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 212","32","31","Hybrid",
"03","47224","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","10:05 AM - 11:55 AM","Erlach, David","PH 118","50","50","In-Person",
"08","51265","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","8:50 PM - 10:30 PM","Zapf, Michael","PH 110","39","45","In-Person",
"01","47176","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 130","51","50","In-Person",
"04","47236","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","5:00 PM - 6:40 PM","Erlach, David","RO 230","99","100","In-Person",
"04","47310","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","10:05 AM - 11:55 AM","Feisullin, Anita","RA 201","46","46","In-Person",
"03","47304","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","2:15 PM - 4:05 PM","David, Amy","PH 116","45","45","In-Person",
"02","47300","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","1:40 PM - 3:30 PM","Erlach, David","PH 116","45","45","In-Person",
"01","47287","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","W, F","10:05 AM - 11:55 AM","Gruza, Marvin","RA 201","21","45","In-Person",
"09","51353","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","S","8:00 AM - 12:00 PM","Khanna, Himanshu","PH 110","33","45","In-Person",
"07","51343","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","F","6:30 PM - 10:30 PM","Benjamin, Ranjitkumar","PH 110","27","45","In-Person",
"08","51348","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","SU","8:00 AM - 12:00 PM","Benjamin, Ranjitkumar","PH 116","24","45","In-Person",
"06","51328","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","6:55 PM - 8:35 PM","Kessar, Nathaniel","PH 132","38","45","In-Person",
"05","51322","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","8:50 PM - 10:30 PM","Ruthizer, Scott","PH 116","46","46","In-Person",
"05","51362","ACCT 201 (4, 4)","Inter Acct 1","M, W","6:55 PM - 8:35 PM","Lahijani, Richard","PH 130","58","57","In-Person",
"06","51370","ACCT 201 (4, 4)","Inter Acct 1","T, TH","6:55 PM - 8:35 PM","Nussbaum, Stephen","PH 130","57","57","In-Person",
"07","51374","ACCT 201 (4, 4)","Inter Acct 1","SU","8:00 AM - 12:00 PM","Rubin, Eliot","PH 114","59","59","In-Person",
"01","47394","ACCT 201 (4, 4)","Inter Acct 1","M, W","8:40 AM - 10:30 AM","Hornung, David","PH 110","57","57","In-Person",
"02","47424","ACCT 201 (4, 4)","Inter Acct 1","T, TH","2:15 PM - 4:05 PM","Levine, Marc","PH 130","57","57","In-Person",
"03","47427","ACCT 201 (4, 4)","Inter Acct 1","T, TH","5:00 PM - 6:40 PM","Levine, Marc","PH 130","57","57","In-Person",
"04","47458","ACCT 201 (4, 4)","Inter Acct 1","M, W","2:15 PM - 4:05 PM","Weiss, Renee","PH 212","32","32","In-Person",
"06","51379","ACCT 202 (3, 2)","Inter Acct 2","M, W","8:00 PM - 9:15 PM","Kumar, Vijay","PH 112","44","44","In-Person",
"05","51376","ACCT 202 (3, 2)","Inter Acct 2","M, W","6:30 PM - 7:45 PM","Schwalb, Helen","RA 205","22","40","In-Person",
"04","48283","ACCT 202 (3, 2)","Inter Acct 2","F","9:10 AM - 12:00 PM","Weiss, Renee","PH 212","29","30","In-Person",
"03","47676","ACCT 202 (3, 2)","Inter Acct 2","M, W","3:10 PM - 4:25 PM","Schwalb, Helen","RA 201","32","40","In-Person",
"02","47532","ACCT 202 (3, 2)","Inter Acct 2","M, W","1:40 PM - 2:55 PM","Hornung, David","PH 110","31","30","In-Person",
"07","51383","ACCT 202 (3, 2)","Inter Acct 2","SU","9:00 AM - 12:00 PM","Zapf, Michael","PH 154","41","41","In-Person",
"01","47483","ACCT 202 (3, 2)","Inter Acct 2","M, W","10:45 AM - 12:00 PM","Hornung, David","PH 110","40","40","In-Person",
"04","50932","ACCT 261 (3, 3)","Business Law l","W, F","9:15 AM - 10:30 AM","Mintz, Seymour","PH 012","36","41","In-Person",
"06","51565","ACCT 261 (3, 3)","Business Law l","M, W","6:30 PM - 7:45 PM","Kirschner, David","RZ 347","41","41","In-Person",
"07","51568","ACCT 261 (3, 3)","Business Law l","F","6:30 PM - 9:30 PM","Seymore, Javier","PH 112","40","41","In-Person",
"08","51571","ACCT 261 (3, 3)","Business Law l","SU","9:00 AM - 12:00 PM","Stein, Randy","PH 118","41","41","In-Person",
"01","50858","ACCT 261 (3, 3)","Business Law l","M, W","1:40 PM - 2:55 PM","Leibowicz, Barry","PH 112","41","41","In-Person",
